No. Adq.,Título,Autor,Vol/Tomo/Año,Clasificación,ISBN/ISSN,Estado,Tipo,Colección,,,
60899,EL LIBRO DE LA CIENCIA,,-2014,C AE61 L697c,978-0-2414-4038-4,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60870,EL SALVAJE,"ARRIAGA, GUILLERMO",-2017,PQ7298.1 .R753 A775,978-607-314-842-9,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60867,MUJERES QUE COMPRAN FLORES,"MONTFORT, VANESSA",-2019,PQ6713 .O652 M784,978-607-317-598-2,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60861,CONFERENCIA SOBRE LA LLUVIA,"VOLLORO, JUAN",-2016,PQ7298.32 .I55 V759co,978-607-8486-20-5,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60858,EL CONGRESO DE LITERATURA,"AIRA, CESAR",-2019,PQ7798.1 .I17 A298c,978-607-445-527-4,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60848,SAFARI OCCIDENTAL,"VILLORO, JUAN",-2005,PQ7298.32 .I55 V759s,978-607-07-3872-2,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60828,"SABADO, DOMINGO","LORIGA, RAY",-2019,PQ6662.077 L861,978-607-317-751-1,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60818,NUDO DE ALACRANES,"URROZ, ELOY",-2019,PQ7297 U81n,978-607-317-687-3,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60813,MIL NOCHES SIN TI,"MOCCIA, FEDERICO",-2019,PQ4913 .O28 M687m,978-607-07-5952-9,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60806,VEINTE MIL LENGUAS DE VIAJE SUBMARINO,"VERNE, JULIO",-2016,PQ1136 V531m,978-607-8469-14-7,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60801,EL DIARIO DE ELISEO. CABALLO DE TROYA :,"BENITEZ, J. J.",-2019,PQ6652 .E5263 B467,978-607-07-6260-4,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60797,ESTA NOCHE DIME QUE ME QUIERES,"MOCCIA, FEDERICO",-2011,PQ4913 .O28 M687,978-607-07-5999-4,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60788,EL MIEDO DEL PORTERO AL PENALTI,"HANDKE, PETER",-2019,PT2668 .A5 H236,978-607-318-907-1,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60787,EL MANTO,"SERRANO, MARCELA",-2019,PQ7085 S487,978-607-318-573-8,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60773,¡ VIGILEN LOS CIELOS ! : LA FILOSOFIA DE LA CIENCIA FICCION,"ARIZA, LUIS MIGUEL",-2018,PN45 A719,9.79E+12,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60756,MANUAL DE PUBLICACIONES DE LA AMERICAN PSYCHOLOGICAL ASSOCIATION,,-2010,BF76.7 M294 2010,978-607-448-052-8,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60744,EL LOBO DE MAR,"LONDON, JACK",-2018,BJ76.7 P976 2020 M,978-1-4338-3216-1,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60720,RELATO DE UN NAUFRAGO,"ARCIA MARQUEZ, GABRIEL",-1970,PS3523 .O46 L847l,978-84-397-3488-8,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60716,OPUS NIGRUM,"YOURCENAR, MARGUERITE",-2005,PQ8179 G216r,978-607-07-3120-4,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60715,EL HECHICERO,"NABOKOV, VLADIMIR",-2018,PQ8180.17 .A73 G219,978-607-07-2879-2,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60713,LA LEYENDA DEL SANTO BEBEDOR,"ROTH, JOSEPH",-2019,PQ2649 Y81,970-710-009-5,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60712,HISTORIAS DE CRONOPIOS Y DE FAMAS,"CORTAZAR, JULIO",-1992,PG3476 .N3 N117,978-84-339-6037-5,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60711,EL LABERINTO DE LA SOLEDAD. POSTDATA. VUELTA A EL LABERINTO DE LA SOLEDAD / OCTAVIO PAZ,"PAZ, OCTAVIO",-1999,PT2635 .O84 R845,978-84-339-0233-7,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60710,TRAINSPOTTING,"WELSH, IRVINE",-2019,PQ8180.17 .A73 G219,978-607-07-2879-2,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60706,PUEDO EXPLICARLO TODO,"VELASCO, XAVIER",-2017,PQ7797 C827hc,978-19-0259-9,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60704,DIALOGOS : APOLOGIA DE SOCRATES. CRITON-FEDRO-FEDON,PLATON,-1963,F1210 P348 1999,978-968-16-5970-7,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60702,DEMIAN,"HESSE, HERMANN",-20,PR6073 .E47 W461,978-84-339-0245-0,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60697,DEMIAN : HISTORIA DE LA JUVENTUD DE EMILIO SINCLAIRE,"HESSE, HERMANN",-2019,PQ7298.1 .R753 A775,978-607-314-842-9,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60692,LOS DETECTIVES SALVAJES,"BOLAÑOS, ROBERTO",-2017,PQ7298.32 .E38 V433,978-607-527-373-0,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60676,CEVDET BEY E HIJOS,"PAMUK, ORHAN",-2014,PA4285 .S6 P718d,978-607-8538-20-1,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60675,"EL AMOR, LAS MUJERES Y LA VIDA","BENEDETTI, MARIO",-2015,PT2617 .E85 H587d,978-607-8538-01-0,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60674,LA LITERATURA NAZI EN AMERICA,"BOLAÑO, ROBERTO",-2017,PT2617 .E85 H587de 2019,978-968-867-094-1,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60579,62,"CORTAZAR, JULIO",-2016,PQ8098.12 B687,978-607-314-769-9,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60574,LA HUIDA DEL CAZADOR,"DOZOIS, GARDNER",-2018,PL248 P186c,978-607-312-230-6,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60571,RETRATOS DE SUS HIJOS :,"MARTIN, GEORGE R. R.",-2018,PQ8519 B462a,978-607-313-328-9,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60531,TIERRA DE GRACIA,"BERNAL, RAFAEL",-1963,PQ8098.12 B687,978-607-315-621-9,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60524,LA ISLA MISTERIOSA,"VERNE, JULIO",-2018,PQ7797 C827s,979-607-314-773-6,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60522,ORGULLO Y PREJUICIO,"AUSTEN, JANE",-2013,PQ7797 C827r,9.79E+12,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60520,POBREZA Y RIQUEZA :,,-2004,PR6068 D755,978-607-318-472-4,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60516,TORQUEMADA EN LA HOGUERA. TORQUEMADA EN LA CRUZ. TORQUEMADA EN EL PURGATORIO. TORQUEMADA Y SAN PEDRO,"PEREZ GALDOS, BENITO",-2011,PS3563 M381,978-607-317-231-8,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60344,PRIMAVERA CON UNA ESQUINA ROTA,"BENEDETTI, MARIO",-2017,PQ7297 B517f,968-16-7512-6,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60339,VIAJE AL CENTRO DE LA TIERRA,"VERNE, JULIO",-2018,F1210 P348 2004,978-968-16-5970-7,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60324,EL ULTIMO GLADIADOR,"MARTIN DEL CAMPO, DAVID",-2015,PQ2469 .E8 V531im,978-607-457-554-5,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60319,LA DAMA DE LAS CAMELIAS,"DUMAS, ALEJANDRO",-2017,PR4034 A932o 2013,978-607-09-1511-6,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60225,MOBY DICK O LA BALLENA BLANCA,"MELVILLE, HERNAN",-2016,AC9 P739 2004,970-07-5416-2,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60216,EL CORONEL NO TIENE QUIEN LE ESCRIBA,GARCIA MARQUEZ,-2010,PQ6555 P434to 2011,978-607-09-0701-2,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60104,EL PRINCIPIO DEL PLACER,"PACHECO, JOSE EMILIO",-1997,BF76.7 M294 2010,978-607-448-052-8,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60073,EL CAPITAL,"MARX, CARLOS",-2017,PQ8519 B462p,978-607-313-675-0,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60068,EL HABLADOR,"VARGAS LLOSA, MARIO",-2016,PQ2469 .T6 V531,978-607-14-2649-9,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60062,LA TORRE OSCURA :,"KING, STEPHEN",-2002,PQ7298.23 M379,978-607-312-769-1,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60056,UN CUENTO TRISTE NO TAN TRISTE,"BUCAY, JORGE",-2015,PQ2231 D886g,978-607-14-1814-2,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60055,LA MARRANA NEGRA DE LA LITERATURA ROSA,"VELAZQUEZ, CARLOS, 1978-",-2013,PS2384 M531o 2016,978-607-09-2037-0,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60054,LA BIBLIA VAQUERA (UN TRIUNFO DEL CORRIDO SOBRE LA LOGICA),"VELAZQUEZ, CARLOS, 1978-",-2011,PQ8179 G216c,978-607-07-2874-7,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60050,CORRER O MORIR,"DASHNER, JAMES",-2010,PQ8180.17 .A73 G219,978-607-07-2879-2,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60046,"POR AMOR AL ARTE: TIENE TALENTO, DINERO Y BELLEZA...AUNQUE LO UNICO QUE DESEA ES SER LIBRE","BIGGS WALLER, SHARON",-2014,PQ7298 .P33 P116,978-968-411-410-4,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
60042,DRAGONES DE ETER,"DRACCON, RAPHAEL",v1 (2013),HB501 M392c,978-607-14-1131-0,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59916,CRYSTAL: LAS ALMAS GEMELAS PUEDEN SER PELIGROSAMANTE EXPLOSICAS...,"STIRLING, JOSS",-2014,PQ8498.32 .A65 V297h,978-607-314-184-0,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59584,DRAGONES DE ETER,"DRACCON, RAPHAEL",v3 (2013),PS3561 .I483 K54toe,978-84-9063-752-2,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59553,"SOLO ESCUCHA: NO PIENSES NI JUZGUES, SOLO ESCUCHA","DESSEN, SARAH",-2014,PQ7798.12 .U62 B918u,978-607-735-204-4,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59543,EL CIRCULO,"STRANDBERG, MATS",-2011,PQ7298.432 .E435 V434m 2013,978-84-96867-74-1,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59542,LUNA DE PLUTON,[sin autor],-2015,PQ7298.432 .E435 V434b,978-607-7781-16-5,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59377,DRAGONES DE ETER,"DRACCON, RAPHAEL",v2 (2013),PZ7 .D2587 D229,978-607-7547-32-7,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59370,CIELO ROJO,"LOZANO GARBALA, DAVID",-2011,PN610 B592,978-84-15854-76-0,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59369,MEMORIAS DE UN AMIGO IMAGINARIO,"DICKS, MATTHEW",-2012,PZ73 .D7333 D757,978-607-311-725-8,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59365,STRUCK,"STIRLING, JOSS",-2014,PZ7 .N67185 S861c,978-987-612-806-3,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59353,RETRATOS PINTADOS CON AGUA,"GARDUÑO-BUANO, LIRIO",-2011,PZ73 .D7333 D757,978-607-311-725-8,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59351,CRONICAS DE UNA MEMORIA ENFERMA,"MALDA, JUAN MANUEL",-2013,PS3554 .E8454 D475,978-607-735-053-8,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59342,APUNTES DE UN DISTRAIDO,"FERNANDEZ, OSVALDO",-2013,PT9877.29 .T73 S897,978-607-8303-05-2,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59341,"SUEÑOS, MIRADAS Y RECUERDOS QUEMADOS","BLAZQUEZ PAREDES, RIGEL DAVID",-2013,PQ7298.23 .O713 L961,978-607-07-3174-7,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59331,VISITACIONES DEL PORVENIR: ENIGMA Y PROFECIA,"SUAREZ, FELIX",-2013,PZ73 .D7333 D757,978-607-311-725-8,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59329,LA REVUELTA IMPOSIBLE: ANATEMA DRAMATICA CONTRA EL DISCURSO DEL MUNDO,"HARTASANCHEZ FRENK, MARIANA",-2009,PQ6712 .O93 L925,978-607-24-0280-8,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59320,CIVILIZACION,[sin autor],-2007,PS3604 .I323 D554,978-607-311-920-7,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59318,QUERETARO IMPERIAL,"CARBADILLO, EMILIO",-199,PZ7 .N67185 S861s,978-987-612-923-7,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59299,LA FRENTE DE LAS COSAS,"FAVILA, MARITZA",-2007,PQ7298.23 L651 G228,978-607-7619-18-5,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59298,JOB,"OLMO, ENRIQUE",-2009,PQ7298.23 C691 v.5,978-607-9186-38-0,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59297,EL ULTIMO LIBRO DE LOS HERMANOS SALOMON,"HARTASANCHEZ FRENK, MARIANA",-2015,PQ7298.23 C691 v.2,978-607-9186-32-6,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59289,CUERPOS CAIDOS,"ROMAN BAHENA, ALEJANDRO",,PQ7297 B645,978-607-402-629-0,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59287,LOS CAZADORES: RETABLO DE COSTUMBRES HUMANAS,"TAIBO, PACO IGNACIO",-2003,PQ7298.23 C169 S939,978-607-9186-33-3,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59283,Y SI YO FUERA SUSANA SAN JUAN...,"PAGANO, SUSANA",-2014,PQ7298.23 D763 v.12,978-607-7619-14-7,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59282,RIMBOMBANCIAS,"FLORES BRAVO, ISRAEL",-2015,PQ7298.23 D763 v.10,978-968-9350-08-8,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59281,ESTANCIA DE ANIMAS,"SALGADO, ARMANDO",-2013,PQ7297 .Q47 C263q CQ,970-771-001-2,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59278,JANTO,"PEÑA, CHRISTIAN",-2010,PQ7298.23 P364 v.21,978-607-7619-07-9,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59275,CON TINTA ROJA DE PLUMA AZUL,"FLOYD, CARO",-2015,PQ7298.23 D763 v.13,978-607-7619-12-3,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59271,MALDICION DE MEDIANOCHE,"M. H. P., ADILENNE",-2015,PQ7298.23 D763 H325,978-607-7619-32-1,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59270,SARAHJOSEPHA (SI TUVIERA EL VALOR),"SANTILLAN, LUIS",-2015,PQ7298.23 D7863 R758,978-607-769-37-6,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59269,CUANDO TE TOCA,"GARCIA MAINOU, RICARDO",-2009,PQ7298.23 D763 v.5,968-7277-80-1,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59266,BLACK ARCADIA,"ARGUELLO, TADEUS",-2013,PQ7298.26 .A32 P131 2014 CQ,9703510167,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59265,EL GENERAL RIVA PALACIO Y LA VAJILLA DE FRANCISCO JOSE,"KURZ, ANDREAS",-2013,PQ7298.23 F634,978-607-9374-11-2,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59260,LA HISTORIA DEL SER QUE IMAGINO UN AMULETO BAJO TIERRA,[sin autor],-2015,PQ7298.23 T564 v.484,978-607-516-237-9,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59259,LA MUERTE DEL Dr. Z: CONSPIRACION DEL VIRUS,"ANGULO CARRERA, ALEJANDRO",-2010,PQ7298.23 T564 v.412,978-607-455-385-7,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59256,MUERTE INVEROSIMIL,"SOTO IZQUIERDO, EDUARDO",-1998,PQ7298.23 C965 F645,978-607-7619-1,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59255,FLORES A LA SOMBRA,"HERNANDEZ, IVAN",-2010,QP7298.23 N937 M100,978-607-7619-35-2,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59254,SIGNOS DE LA AMNESIA VOLUNTARIA,"MORENO O., BENJAMIN R.",-2009,PQ7298.23 D763 S235,978-607-7619-34-5,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59253,BLANCO Y NEGRO,"MALPICA, ANTONIO",-2003,PQ7298.417 .A735 G216 CQ,978-607-7693-95-5,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59252,HEBEL,"RESENDIZ ESPINOLA, BALTAZAR",-2011,PQ7298.23 C169 A694,978-607-9786-35-7,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59251,BITACORA DE ALBATROS,"CHAVEZ, FLORENTINO",-2003,PQ7298.23 C169 K96,978-607-9186-43-2,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59249,LOS DIAS DE LA NOCHE,"ARGUELLO, TADEUS",-2013,PQ7298.23 D763 H669,970-771-002-0,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59245,KENOSIS,"RESENDIZ ESPINOLA, BALTAZAR",-2007,PQ7298.23 A594,978-607-95024-0-9,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59244,LA MUERTE TIENE MIRADA DE ALGODON DE AZUCAR,"VEGA REAL, GABRIEL",-2011,PQ7298.23 Q6 S718,968-7377-41-0,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59243,VENENO DE DISTINTOS SABORES,"VEGA, FEDEREICO DE LA",-2011,PQ7298.418 .E743 H557 CQ,978-67-455-339-0,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59242,LA MATERIA DEL SILENCIO,"BAEZ, CESAR",-2002,PQ7298.23 T564 v.382,978-607-455-145-7,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59238,LORENZO BITACORA,"ARAGON, A. J.",-2007,PQ7298.23 D763 v.4,968-7277-76-3,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59234,UN PENDULO EN EL OCASO,"CALVO MEJIA, SIRAC",-2013,PQ7298.23 L651 R433,978-607-7619-25-9,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
59233,"URDIMBRE, LA PALABRA","BAEZ, CESAR",-2011,PQ7298.23 P364 v.9,968-7277-81-X,DISPONIBLE,Libros,CENTRO DE INFORMACION,,,
